SALASSA-S.PONSO;00886;830000886
VALPERGA;00887;830000887
CUORGNE';00888;830000888
CAMPORE;00889;830000889
PONT CANAVESE;00890;830000890
BEINETTE;00901;830000901
MARGARITA;00902;830000902
PIANFEI;00903;830000903
POGLIOLA;00904;830000904
ROCCADEBALDI;00905;830000905
MONDOVI' BREO;00906;830000906
BASTIA MONDOVI;00908;830000908
NUCETTO;00920;830000920
BAGNASCO;00921;830000921
PIEVETTA;00922;830000922
PRIOLA;00923;830000923
GARESSIO;00924;830000924
TRAPPA;00925;830000925
ECA NASAGO;00926;830000926
ORMEA;00927;830000927
TRINITA'-BENE VAGIENNA;00950;830000950
MAGLIANO-CRAVA-MOROZZO;00951;830000951
MONDOVI';00952;830000952
VICOFORTE-S. MICHELE;00953;830000953
LESEGNO;00954;830000954
BIELLA-CHIAVAZZA;00970;830000970
CARPIGNANO SESIA;00971;830000971
CASALEGGIO;00972;830000972
COSSATO;00973;830000973
GHISLARENGO;00974;830000974
MASSERANO;00975;830000975
NIBBIA;00976;830000976
VIGLIANO-CANDELO;00977;830000977
SILLAVENGO;00978;830000978
DORMELLETTO PAESE;00980;830000980
BORGO TICINO;00981;830000981
VARALLO POMBIA;00982;830000982
MARANO TICINO;00983;830000983
OLEGGIO;00984;830000984
BELLINZAGO;00985;830000985
TORINO ( TUTTE LE STAZIONI );00996;830000996
ISELLE DI TRASQUERA;01000;830001000
VARZO;01001;830001001
PREGLIA;01002;830001002
DOMODOSSOLA;01003;830001003
ISELLE TRANSITO;01004;830001004
BEURA-CARDEZZA;01007;830001007
VOGOGNA OSSOLA;01008;830001008
PREMOSELLO-CHIOVENDA;01009;830001009
CUZZAGO;01010;830001010
CANDOGLIA-ORNAVASSO;01011;830001011
MERGOZZO;01012;830001012
VERBANIA-PALLANZA;01013;830001013
BAVENO;01015;830001015
STRESA;01016;830001016
BELGIRATE;01017;830001017
LESA;01018;830001018
MEINA;01019;830001019
ARONA;01020;830001020
DORMELLETTO;01025;830001025
SESTO CALENDE;01026;830001026
VERGIATE;01027;830001027
SOMMA LOMBARDO;01028;830001028
CASORATE SEMPIONE;01029;830001029
GALLARATE;01030;830001030
BUSTO ARSIZIO;01031;830001031
MILANO ROMOLO;01032;830001032
LEGNANO;01033;830001033
CANEGRATE;01034;830001034
PARABIAGO;01035;830001035
VANZAGO-POGLIANO;01036;830001036
RHO;01037;830001037
RHO-FIERA MILANO;01039;830001039
MAGENTA;01040;830001040
CORBETTA-S. STEFANO TICINO;01041;830001041
VITTUONE-ARLUNO;01042;830001042
PREGNANA MILANESE;01058;830001058
ALBAIRATE;01059;830001059
PARONA LOMELLINA;01060;830001060
VIGEVANO;01061;830001061
ABBIATEGRASSO;01062;830001062
GAGGIANO;01063;830001063
CORSICO;01064;830001064
TREZZANO SUL NAVIGLIO;01065;830001065
PINO-TRONZANO;01110;830001110
COLMEGNA;01111;830001111
CESANO BOSCONE;01112;830001112
LUINO;01113;830001113
PORTO VALTRAVAGLIA;01116;830001116
CALDE;01117;830001117
LAVENO-MOMBELLO;01118;830001118
LEGGIUNO-MONVALLE;01120;830001120
ISPRA;01121;830001121
TAINO-ANGERA;01122;830001122
CASTELLETTO TICINO;01123;830001123
PORTO VARALLO POMBIA;01124;830001124
POMBIA;01125;830001125
SANGIANO;01140;830001140
BESOZZO;01141;830001141
TRAVEDONA-BIANDRONNO;01142;830001142
TERNATE-VARANO BORGHI;01143;830001143
MORNAGO-CIMBRO;01144;830001144
BESNATE;01145;830001145
PORTO CERESIO;01200;830001200
BISUSCHIO-VIGGIU';01202;830001202
ARCISATE;01203;830001203
INDUNO OLONA;01204;830001204
VARESE;01205;830001205
GAZZADA-SCHIANNO-MORAZZONE;01207;830001207
CASTRONNO;01208;830001208
ALBIZZATE-SOLBIATE ARNO;01209;830001209
CAVARIA-OGGIONA-IERAGO;01210;830001210
CHIASSO;01301;830001301
COMO S. GIOVANNI;01307;830001307
ALBATE-CAMERLATA;01310;830001310
CUCCIAGO;01312;830001312
CANTU'-CERMENATE;01313;830001313
CARIMATE;01315;830001315
CAMNAGO-LENTATE;01316;830001316
SEREGNO;01318;830001318
DESIO;01320;830001320
LISSONE-MUGGIO';01321;830001321
MONZA;01322;830001322
SESTO S. GIOVANNI;01325;830001325
MILANO GRECO PIRELLI;01326;830001326
CHIAVENNA;01400;830001400
S. CASSIANO VALCHIAVENNA;01401;830001401
SAMOLACO;01402;830001402
NOVATE MEZZOLA;01403;830001403
VERCEIA;01404;830001404
DUBINO;01405;830001405
PIONA;01406;830001406
DORIO;01407;830001407
DERVIO;01408;830001408
BELLANO-TARTAVALLE TERME;01409;830001409
REGOLEDO;01410;830001410
VARENNA-ESINO;01411;830001411
FIUMELATTE;01412;830001412
LIERNA;01413;830001413
OLCIO;01414;830001414
MANDELLO DEL LARIO;01415;830001415
ABBADIA LARIANA;01416;830001416
PRATA CAMPORTACCIO;01418;830001418
COLICO;01420;830001420
DELEBIO;01422;830001422
ROGOLO;01423;830001423
COSIO-TRAONA;01424;830001424
